"ABB ID","ABB Name","Description","Use Case Count","Use Cases","Pattern Count","Patterns","L0 Capabilities","L1 Capabilities"
"AB-001","Agent Orchestrator","Coordinates agent collaboration and task execution","10","UC-001;UC-002;UC-008;UC-010;UC-012;UC-016;UC-017;UC-018;UC-019;UC-020","3","PT-007;PT-008;PT-021","Agentic AI;Enabling;Experiences","AI Solutions;Agents;Engineering & Practices"
"AB-002","Tool Registry","Registry of tools available to AI agents","2","UC-001;UC-010","3","PT-007;PT-008;PT-021","Agentic AI","Agents"
"AB-003","Agent Memory System","Persistent memory for agent context","1","UC-010","3","PT-007;PT-008;PT-021","Agentic AI","Agents"
"AB-004","Planning Module","Strategic planning for agent task execution","0","","2","PT-007;PT-008","Agentic AI","Agents"
"AB-005","Execution Engine","Executes agent plans and actions","0","","2","PT-007;PT-008","Agentic AI","Agents"
"AB-006","Reflection Module","Agent self-reflection and learning","0","","2","PT-007;PT-008","Agentic AI","Agents"
"AB-007","Multi Agent Communication Bus","Inter-agent communication infrastructure","0","","3","PT-007;PT-008;PT-021","Agentic AI","Agents"
"AB-008","Human in the Loop Gateway","Human oversight interface for agent actions","1","UC-005","2","PT-007;PT-008","Agentic AI","Agents"
"AB-009","Agent Cost Monitor","Monitors token and API costs for agents","0","","2","PT-007;PT-008","Agentic AI;Enabling","Agents;Transformation & Governance"
"AB-010","Agent Versioning Manager","Version control for agent configurations","0","","1","PT-008","Agentic AI","Agents"
"AB-011","API Gateway","Central API gateway for AI services","0","","1","PT-012","Enabling;Foundations","Engineering & Practices;Integration"
"AB-012","Explanation API Gateway","API gateway for explanation services","0","","1","PT-004","Enabling","Transformation & Governance"
"AB-013","Batch Orchestrator","Orchestrates batch prediction jobs","3","UC-002;UC-013;UC-023","1","PT-014","Foundations","Data & Knowledge;Integration;Models"
"AB-014","Batch Feature Store","Feature store for batch processing","1","UC-021","1","PT-014","Foundations","Batch Processing"
"AB-015","Distributed Processing Engine","Distributed compute for batch jobs","0","","2","PT-014;PT-021","Foundations","Integration;Models"
"AB-016","Batch Model Registry","Model registry for batch predictions","0","","1","PT-014","Foundations","Batch Processing"
"AB-017","Prediction Storage","Stores batch prediction results","0","","1","PT-014","Foundations","Batch Processing"
"AB-018","Data Quality Validator","Validates data quality in batch pipelines","0","","2","PT-012;PT-014","Foundations","Data & Knowledge"
"AB-019","Incremental Processing Manager","Manages incremental batch processing","3","UC-004;UC-009;UC-012","1","PT-014","Foundations","Integration"
"AB-020","Prediction Version Tracker","Tracks versions of batch predictions","0","","1","PT-014","Foundations","Batch Processing"
"AB-021","Drift Detection Monitor","Monitors drift in batch predictions","0","","1","PT-014","Foundations","Batch Processing"
"AB-022","Result Reconciliation Engine","Reconciles batch prediction results","0","","1","PT-014","Foundations","Batch Processing"
"AB-023","Batch Explainability Service","Generates explanations for batch predictions","0","","1","PT-014","Foundations","Batch Processing"
"AB-024","Prediction Caching Layer","Caches predictions for performance","0","","2","PT-004;PT-009","Foundations","Models"
"AB-025","Traffic Splitter","Splits traffic between model versions","1","UC-006","0","","Foundations","Models"
"AB-026","Performance Comparator","Compares model performance metrics","0","","1","PT-010","Foundations","Models"
"AB-027","Statistical Test Engine","Runs statistical significance tests","0","","1","PT-010","Foundations","Models"
"AB-028","Model Promotion Service","Promotes challenger to champion","0","","1","PT-010","Foundations","Models"
"AB-029","Conversation State Manager","Manages conversational context and state","4","UC-002;UC-003;UC-006;UC-007","0","","Experiences","AI Solutions"
"AB-030","Intent Classifier","Classifies user intent in conversations","4","UC-003;UC-005;UC-007;UC-014","0","","Experiences","AI Solutions"
"AB-031","Response Generator","Generates conversational responses","3","UC-003;UC-007;UC-014","0","","Experiences","AI Solutions"
"AB-032","Handoff Logic Engine","Manages handoff to human agents","1","UC-007","0","","Experiences","AI Solutions"
"AB-033","Sentiment Analyzer","Analyzes sentiment in conversations","1","UC-007","0","","Experiences","AI Solutions"
"AB-034","Entity Extractor","Extracts entities from conversation","2","UC-005;UC-007","1","PT-019","Experiences","AI Solutions"
"AB-035","Conversation Summarizer","Summarizes conversation history","2","UC-001;UC-007","0","","Experiences;Generative AI","AI Solutions;Content"
"AB-036","Multi Channel Orchestrator","Orchestrates across chat channels","3","UC-003;UC-006;UC-007","0","","Experiences","AI Solutions"
"AB-037","Feature Store","Centralized repository for ML features","3","UC-001;UC-002;UC-006","3","PT-002;PT-004;PT-011","Enabling;Foundations","Data & Knowledge;Engineering & Practices"
"AB-038","Data Lake","Scalable storage for structured and unstructured data","3","UC-001;UC-002;UC-009","4","PT-002;PT-011;PT-012;PT-015","Foundations","Data & Knowledge"
"AB-039","Data Versioning Service","Version control for datasets","0","","3","PT-002;PT-012;PT-015","Foundations","Data & Knowledge"
"AB-040","Document Classification Engine","Classifies documents by type and content","2","UC-002;UC-005","1","PT-011","Generative AI","Content"
"AB-041","OCR Engine","Optical character recognition for documents","1","UC-005","1","PT-011","Generative AI","Content"
"AB-042","Document Forensics Engine","Detects document tampering and fraud","1","UC-005","1","PT-011","Generative AI","Content"
