use_case_id,use_case_name,phase_number,phase_name,timeline,key_activities,primary_pattern_id,pattern_phase_activities,2025_phase_considerations
1,FrontLine - Partnership Banking,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-005,"RAG infrastructure setup. Vector DB deployment. Feature Store integration. LLM API integration. Agentic AI framework setup.","2025: Deploy Self-Reflective RAG. Configure hybrid search. Integrate Feature Store dual-store. Setup observability (OpenTelemetry)."
1,FrontLine - Partnership Banking,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-005,"RAG hallucination testing. Feature Store latency validation. Agentic AI workflow testing. Observability validation.","2025: Test Self-Reflective validation loop. Validate <10ms feature retrieval. Test autonomous workflows. Validate observability dashboards."
1,FrontLine - Partnership Banking,3,Deployment,Months 5-6,Rollout | Training | Support,PT-005,"Production RAG deployment. Feature Store production cutover. Agentic AI go-live. User training on AI assist features.","2025: Deploy RAG with Cohere Rerank. Production Feature Store. Agentic AI with monitoring. User adoption program."
2,Finance,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-007,"Agentic AI framework setup. Multi-Agent orchestration. Data Mesh integration. NLG engine deployment.","2025: Deploy Multi-Agent platform. Configure P&L/anomaly/narrative agents. Integrate Data Mesh. Setup observability."
2,Finance,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-007,"Multi-Agent coordination testing. Financial narrative accuracy. Anomaly detection validation. Report generation testing.","2025: Test agent coordination. Validate financial accuracy. Test anomaly thresholds. Validate report compliance."
2,Finance,3,Deployment,Months 5-6,Rollout | Training | Support,PT-007,"Production Multi-Agent deployment. Finance team training. Month-end process integration. Ongoing support setup.","2025: Deploy Multi-Agent orchestration. Finance team enablement. Integrate month-end workflow. Monitor agent performance."
3,Analytics and Reporting,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-005,"RAG + Text-to-SQL setup. MLOps platform deployment. AutoML framework. Data virtualization layer.","2025: Deploy Self-Reflective RAG. Configure Text-to-SQL. Setup MLOps Level 2+ platform. Integrate semantic layer."
3,Analytics and Reporting,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-005,"Text-to-SQL accuracy testing. Query validation. Predictive model testing. Insight generation validation.","2025: Test Text-to-SQL accuracy. Validate query safety. Test model predictions. Validate insight quality."
3,Analytics and Reporting,3,Deployment,Months 5-6,Rollout | Training | Support,PT-005,"Production NLQ deployment. Analyst training. Dashboard integration. Ongoing model monitoring.","2025: Deploy natural language queries. Train business analysts. Integrate with BI tools. Setup drift monitoring."
4,Credit Risk,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-009,"Real-time scoring infrastructure. Feature Store dual-store. Explainability framework (SHAP/LIME). MLOps Level 2+ setup.","2025 REGULATORY: Deploy <1s scoring infra. Configure Feature Store. MANDATORY setup XAI framework. Deploy MLOps with drift detection."
4,Credit Risk,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-009,"Latency SLA validation (<1s). Explainability testing. Bias detection testing. Regulatory compliance testing.","2025 REGULATORY: Validate <1s latency. Test SHAP/LIME outputs. Run bias tests. Validate regulatory audit trail."
4,Credit Risk,3,Deployment,Months 5-6,Rollout | Training | Support,PT-009,"Production real-time scoring. Credit officer training on XAI. Governance framework activation. Ongoing monitoring.","2025 REGULATORY: Deploy real-time scoring. Train on explainability dashboards. Activate governance controls. Setup continuous monitoring."
5,Lending Ops,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-011,"IDP platform setup (OCR + NLP). Multi-modal extraction. Human-in-the-loop workflow. Document storage.","2025: Deploy IDP with vision models. Configure multi-modal extraction. Setup exception workflows. Integrate document management."
5,Lending Ops,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-011,"Document extraction accuracy testing. Classification validation. Human-in-the-loop workflow testing. Exception handling testing.","2025: Test extraction accuracy. Validate document classification. Test human workflows. Validate exception routing."
5,Lending Ops,3,Deployment,Months 5-6,Rollout | Training | Support,PT-011,"Production IDP deployment. Ops team training. Process integration. Ongoing model improvement.","2025: Deploy IDP to production. Train lending ops team. Integrate with existing workflow. Setup continuous model improvement."
6,HyperPersonalization,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-006,"Multi-Model Routing setup. Feature Store dual-store. CDP integration. A/B testing platform.","2025: Deploy Multi-Model Router. Configure Feature Store (<10ms online). Integrate CDP. Setup Champion/Challenger framework."
6,HyperPersonalization,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-006,"Real-time latency testing (<100ms). A/B testing validation. Personalization accuracy. Content quality testing.","2025: Validate <100ms decisioning. Test A/B framework. Validate personalization relevance. Test content moderation."
6,HyperPersonalization,3,Deployment,Months 5-6,Rollout | Training | Support,PT-006,"Production personalization engine. Marketing team training. Campaign integration. Ongoing optimization.","2025: Deploy real-time personalization. Train marketing team. Integrate campaigns. Setup continuous optimization."
7,Contact Centre,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-013,"Conversational AI platform. RAG knowledge base. Speech-to-text integration. Agent assist interface.","2025: Deploy Conversational AI. Configure Self-Reflective RAG. Integrate speech processing. Setup agent assist UI."
7,Contact Centre,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-013,"Conversation flow testing. RAG accuracy testing. Sentiment analysis validation. Agent assist usability testing.","2025: Test multi-turn dialogue. Validate RAG accuracy. Test sentiment detection. UAT with agents."
7,Contact Centre,3,Deployment,Months 5-6,Rollout | Training | Support,PT-013,"Production contact center AI. Agent training. Customer rollout. Ongoing conversation monitoring.","2025: Deploy AI agent assist. Train contact center agents. Phased customer rollout. Setup conversation analytics."
8,Security AI,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-009,"Real-time threat detection. SIEM integration. UEBA platform. Stream processing infrastructure.","2025: Deploy <100ms threat detection. Integrate with SIEM. Configure UEBA baselines. Setup event streaming."
8,Security AI,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-009,"Detection latency validation. False positive testing. UEBA baseline validation. Automated response testing.","2025: Validate <100ms detection. Tune false positive rates. Test behavioral baselines. Validate playbook automation."
8,Security AI,3,Deployment,Months 5-6,Rollout | Training | Support,PT-009,"Production security AI. SOC team training. Playbook integration. Ongoing threat model updates.","2025: Deploy to SOC. Train security analysts. Integrate automated playbooks. Setup continuous threat updates."
9,Data Products,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-012,"Data Mesh platform. Metadata management. Lineage tracking. GenAI documentation.","2025: Deploy Data Mesh infrastructure. Configure metadata auto-tagging. Setup lineage graph. Integrate GenAI docs."
9,Data Products,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-012,"Data quality validation. Lineage completeness testing. Metadata accuracy testing. Documentation quality testing.","2025: Test quality automation. Validate lineage tracking. Test auto-tagging accuracy. Review generated documentation."
9,Data Products,3,Deployment,Months 5-6,Rollout | Training | Support,PT-012,"Production Data Mesh. Data team training. Consumer onboarding. Ongoing quality monitoring.","2025: Deploy Data Mesh to production. Train data engineers. Onboard data consumers. Setup quality monitoring."
10,SDLC,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-007,"Agentic AI code assistant. Security scanning integration. Test generation. CI/CD integration.","2025: Deploy AI code assistant. Integrate security scanners. Setup test generation. Configure CI/CD hooks."
10,SDLC,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-007,"Code quality testing. Security scan validation. Human-in-the-loop workflow testing. Developer UX testing.","2025: Test code suggestions. Validate security findings. Test human review workflow. Developer feedback sessions."
10,SDLC,3,Deployment,Months 5-6,Rollout | Training | Support,PT-007,"Production developer AI. Developer training. Process integration. Ongoing tool improvement.","2025: Deploy to development teams. MANDATORY human-in-the-loop. Integrate with existing SDLC. Continuous improvement."
11,Fincrime,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-009,"Real-time transaction monitoring. Network analysis. Explainability framework. SAR generation.","2025 REGULATORY: Deploy real-time monitoring. Setup graph analytics. MANDATORY configure XAI. Integrate SAR generation."
