Element_ID,Element_Name,Element_Type,Stereotype,Parent_Category,Level,Hierarchy_Path
prod-001,Products,Container,Grouping,Root,1,Products
mo-001,Market Operations,Container,Grouping,Products,2,Products > Market Operations
mo-002,Trading Book Oversight,ServiceDomain,ServiceDomain,Market Operations,3,Products > Market Operations > Trading Book Oversight
mo-003,Trade Confirmation Matching,ServiceDomain,ServiceDomain,Market Operations,3,Products > Market Operations > Trade Confirmation Matching
mo-004,Trade Banking,ServiceDomain,ServiceDomain,Market Operations,3,Products > Market Operations > Trade Banking
mo-005,Trade Settlement,ServiceDomain,ServiceDomain,Market Operations,3,Products > Market Operations > Trade Settlement
mo-006,Trade and Price Reporting,ServiceDomain,ServiceDomain,Market Operations,3,Products > Market Operations > Trade and Price Reporting
mo-007,Credit Risk Operations,ServiceDomain,ServiceDomain,Market Operations,3,Products > Market Operations > Credit Risk Operations
mo-008,Securities Fails Processing,ServiceDomain,ServiceDomain,Market Operations,3,Products > Market Operations > Securities Fails Processing
mo-009,Financial Instrument Valuation,ServiceDomain,ServiceDomain,Market Operations,3,Products > Market Operations > Financial Instrument Valuation
mo-010,Corporate Action,ServiceDomain,ServiceDomain,Market Operations,3,Products > Market Operations > Corporate Action
cf-001,Corporate Finance,Container,Grouping,Products,2,Products > Corporate Finance
cf-002,ECM And DCM,ServiceDomain,ServiceDomain,Corporate Finance,3,Products > Corporate Finance > ECM And DCM
cf-003,Private Placement,ServiceDomain,ServiceDomain,Corporate Finance,3,Products > Corporate Finance > Private Placement
cf-004,Public Offering,ServiceDomain,ServiceDomain,Corporate Finance,3,Products > Corporate Finance > Public Offering
cf-005,Unit Trust Administration,ServiceDomain,ServiceDomain,Corporate Finance,3,Products > Corporate Finance > Unit Trust Administration
cf-006,Hedge Fund Administration,ServiceDomain,ServiceDomain,Corporate Finance,3,Products > Corporate Finance > Hedge Fund Administration
cf-007,Mutual Fund Administration,ServiceDomain,ServiceDomain,Corporate Finance,3,Products > Corporate Finance > Mutual Fund Administration
ld-001,Loans and Deposits,Container,Grouping,Products,2,Products > Loans and Deposits
ld-002,Consumer Loan,ServiceDomain,ServiceDomain,Loans and Deposits,3,Products > Loans and Deposits > Consumer Loan
ld-003,Corporate Loan,ServiceDomain,ServiceDomain,Loans and Deposits,3,Products > Loans and Deposits > Corporate Loan
ld-004,Corporate Lease,ServiceDomain,ServiceDomain,Loans and Deposits,3,Products > Loans and Deposits > Corporate Lease
ld-005,Leasing Item Administration,ServiceDomain,ServiceDomain,Loans and Deposits,3,Products > Loans and Deposits > Leasing Item Administration
ld-006,Syndicated Loan,ServiceDomain,ServiceDomain,Loans and Deposits,3,Products > Loans and Deposits > Syndicated Loan
ld-007,Fiduciary Agreement,ServiceDomain,ServiceDomain,Loans and Deposits,3,Products > Loans and Deposits > Fiduciary Agreement
