abb_id,name,description
AB-050,Large Language Model Service,"Managed LLM gateway providing text generation, summarization, and reasoning capabilities across all AI use cases"
AB-072,Inference Engine,"High-performance model serving infrastructure enabling real-time predictions with sub-second latency"
AB-094,Natural Language Generation,"Transforms structured data into human-readable narratives for reports, summaries, and customer communications"
AB-097,Data Drift Detector,"Monitors input data distributions to detect statistical shifts that may degrade model performance over time"
AB-051,Vector Database,"Stores and retrieves high-dimensional embeddings for semantic search, RAG, and similarity matching"
AB-001,Agent Orchestrator,"Manages autonomous AI agent lifecycles, coordinating multi-step task execution and tool invocation"
AB-037,Feature Store,"Central repository serving consistent ML features for training and inference with versioning support"
AB-063,ML Model Explainability Engine,"Generates SHAP/LIME explanations for model predictions to support regulatory compliance and trust"
AB-052,Semantic Search Engine,"Enables meaning-based document and knowledge retrieval using vector similarity and embeddings"
AB-095,NLP Extraction Engine,"Extracts named entities, relationships, and key information from unstructured text documents"
AB-030,Intent Classifier,"Determines user intent from natural language inputs to route conversations and trigger actions"
AB-040,Document Classification Engine,"Automatically categorizes documents by type, content, and risk level for processing workflows"
AB-103,Business Metrics Tracker,"Correlates model predictions with business outcomes to measure ROI and operational impact"
AB-127,Validation Engine,"Ensures data quality and model output integrity through configurable validation rules and checks"
AB-107,Stakeholder Dashboard,"Executive-level visibility into AI platform health, adoption metrics, and business value delivered"
AB-031,Response Generator,"Produces contextually appropriate conversational responses for chatbots and virtual assistants"
AB-047,Online Feature Store,"Low-latency feature serving for real-time inference with millisecond response requirements"
AB-074,Event Broker,"Asynchronous message bus enabling event-driven communication between AI platform components"
AB-108,Model Router,"Intelligently routes inference requests to optimal models based on cost, latency, or capability"
AB-013,Batch Orchestrator,"Schedules and manages large-scale batch prediction jobs with retry logic and monitoring"
AB-029,Conversation State Manager,"Maintains multi-turn dialogue context and session history for coherent conversations"
AB-034,Entity Extractor,"Identifies and extracts named entities (people, orgs, dates) from conversational inputs"
AB-036,Multi-Channel Orchestrator,"Coordinates consistent AI experiences across web, mobile, voice, and messaging channels"
AB-065,Audit Trail & Logging,"Captures comprehensive audit logs of AI decisions and actions for compliance and forensics"
AB-008,Human-in-the-Loop Gateway,"Enables human review and approval of AI agent actions for high-risk decisions"
AB-041,OCR Engine,"Converts scanned documents and images into machine-readable text for downstream processing"
AB-057,Document Processing Pipeline,"Ingests, parses, chunks, and prepares documents for RAG and knowledge extraction"
AB-070,Data Lineage Tracker,"Traces data provenance from source to model prediction for regulatory and debugging needs"
AB-075,Stream Processing Engine,"Real-time event processing for streaming data transformation and feature computation"
AB-096,Observability Platform,"Unified monitoring of metrics, logs, and traces across all AI platform components"
AB-025,Traffic Splitter,"Distributes inference traffic between model versions for A/B testing and canary deployments"
AB-032,Handoff Logic Engine,"Manages seamless escalation from AI assistants to human agents based on context and rules"
AB-064,Compliance Dashboard,"Tracks AI governance metrics, model approvals, and regulatory compliance status"
AB-080,Knowledge Base,"Structured repository of domain knowledge, policies, and FAQs for AI retrieval"
AB-087,Model Testing Framework,"Comprehensive testing suite for model validation including unit, integration, and bias tests"
AB-105,GenAI Quality Monitor,"Evaluates LLM output quality for hallucination, toxicity, and response faithfulness"
AB-002,Tool Registry,"Catalog of available tools and APIs that AI agents can invoke during task execution"
AB-005,Execution Engine,"Runtime environment executing agent plans by invoking tools and managing state"
AB-033,Sentiment Analyzer,"Detects emotional tone and sentiment polarity in customer interactions and feedback"
AB-058,Citation Generator,"Attributes LLM responses to source documents for transparency and verification"
AB-101,Latency Monitor,"Tracks end-to-end response times across inference pipelines to ensure SLA compliance"
AB-104,Data Quality Monitor,"Continuously monitors data completeness, accuracy, and freshness metrics"
AB-128,Explanation Visualization Layer,"Renders model explanations as interactive charts and visualizations for stakeholders"
AB-007,Multi-Agent Communication Bus,"Message infrastructure enabling coordination and information sharing between agents"
AB-018,Data Quality Validator,"Validates batch data against schema and quality rules before model training or inference"
AB-035,Conversation Summarizer,"Generates concise summaries of multi-turn conversations for agent handoffs and records"
AB-038,Data Lake,"Scalable storage for raw and processed data supporting ML training and analytics"
AB-042,Document Forensics Engine,"Detects document tampering, forgery, and fraud through metadata and content analysis"
AB-054,Hybrid Search Engine,"Combines keyword-based and semantic search for optimal retrieval precision and recall"
AB-083,Model Fallback Logic,"Implements graceful degradation strategies when primary models fail or timeout"
AB-106,Automated Retraining Trigger,"Initiates model retraining workflows when drift thresholds are exceeded"
AB-116,Audit Logging & Monitoring,"Security-focused logging for threat detection and incident investigation"
AB-129,Human-in-the-Loop Workflow,"Orchestrates human review queues and approval workflows for AI-assisted decisions"
AB-004,Planning Module,"Generates execution plans for complex multi-step tasks requiring agent reasoning"
AB-019,Incremental Processing Manager,"Optimizes batch jobs by processing only new or changed data since last run"
AB-026,Performance Comparator,"Compares champion vs challenger model metrics to inform promotion decisions"
AB-039,Data Versioning Service,"Tracks dataset versions with lineage for reproducible model training"
AB-043,Data Product Catalog,"Discoverable inventory of curated data products available across the organization"
AB-044,Domain Data Platform,"Self-service data platform enabling domain teams to manage their own data products"
AB-045,Data Contract Registry,"Defines and enforces data quality contracts between producers and consumers"
AB-046,Fairness Monitoring Engine,"Monitors model predictions for bias across protected demographic attributes"
AB-048,Feature Engineering Pipeline,"Automates feature transformation, aggregation, and enrichment workflows"
AB-049,Offline Feature Store,"Batch feature storage for model training with point-in-time correctness"
AB-053,Query Intent Analyzer,"Classifies and reformulates user queries to improve retrieval effectiveness"
AB-059,Query Rewriting Engine,"Expands and reformulates queries for better semantic search coverage"
AB-069,Bias Detection Framework,"Detects and quantifies bias in training data and model predictions"
AB-076,Event Producer Adapter,"Adapters connecting source systems to the event streaming platform"
AB-084,Model Quantization Service,"Reduces model size and improves inference speed through quantization techniques"
AB-086,Model Registry,"Centralized catalog of trained models with versioning, metadata, and lineage"
AB-088,Model Deployment Orchestrator,"Automates model packaging, deployment, and rollout across environments"
AB-093,Feature Flag Service,"Controls feature and model rollouts through configurable feature flags"
AB-099,Concept Drift Detector,"Detects changes in the relationship between features and target variables"
AB-114,PII Detection & Masking Service,"Identifies and redacts personally identifiable information to protect privacy"
AB-115,Model Security Framework,"Protects models from adversarial attacks, extraction, and unauthorized access"
