Element_ID,Element_Name,Element_Type,Stereotype,Parent_Category,Level,Hierarchy_Path,,
ops-001,Operations,Container,Grouping,Root,1,Operations,,
cas-001,Clearing And Settlement,Container,Grouping,Operations,2,Operations > Clearing And Settlement,,
cas-002,Order Allocation,ServiceDomain,ServiceDomain,Clearing And Settlement,3,Operations > Clearing And Settlement > Order Allocation,,
cas-003,Counterparty Administration,ServiceDomain,ServiceDomain,Clearing And Settlement,3,Operations > Clearing And Settlement > Counterparty Administration,,
cas-004,Correspondent Bank Directory,ServiceDomain,ServiceDomain,Clearing And Settlement,3,Operations > Clearing And Settlement > Correspondent Bank Directory,,
cas-005,Correspondent Bank Operations,ServiceDomain,ServiceDomain,Clearing And Settlement,3,Operations > Clearing And Settlement > Correspondent Bank Operations,,
cas-006,Card Clearing,ServiceDomain,ServiceDomain,Clearing And Settlement,3,Operations > Clearing And Settlement > Card Clearing,,
cas-007,Card Financial Settlement,ServiceDomain,ServiceDomain,Clearing And Settlement,3,Operations > Clearing And Settlement > Card Financial Settlement,,
cas-008,Card eCommerce Gateway,ServiceDomain,ServiceDomain,Clearing And Settlement,3,Operations > Clearing And Settlement > Card eCommerce Gateway,,
cas-009,Cheque Processing,ServiceDomain,ServiceDomain,Clearing And Settlement,3,Operations > Clearing And Settlement > Cheque Processing,,
cas-010,ACH Operations,ServiceDomain,ServiceDomain,Clearing And Settlement,3,Operations > Clearing And Settlement > ACH Operations,,
cas-011,Transaction Engine,ServiceDomain,ServiceDomain,Clearing And Settlement,3,Operations > Clearing And Settlement > Transaction Engine,,
ccd-001,Custody, Collateral And Documents,Container,Grouping,Operations,2,Operations > Custody, Collateral And Documents
ccd-002,Custody Administration,ServiceDomain,ServiceDomain,Custody, Collateral And Documents,3,Operations > Custody, Collateral And Documents > Custody Administration
ccd-003,Collateral Allocation Management,ServiceDomain,ServiceDomain,Custody, Collateral And Documents,3,Operations > Custody, Collateral And Documents > Collateral Allocation Management
ccd-004,Collateral Asset Administration,ServiceDomain,ServiceDomain,Custody, Collateral And Documents,3,Operations > Custody, Collateral And Documents > Collateral Asset Administration
ccd-005,Account Recovery,ServiceDomain,ServiceDomain,Custody, Collateral And Documents,3,Operations > Custody, Collateral And Documents > Account Recovery
ccd-006,Document Services,ServiceDomain,ServiceDomain,Custody, Collateral And Documents,3,Operations > Custody, Collateral And Documents > Document Services
ccd-007,Collections,ServiceDomain,ServiceDomain,Custody, Collateral And Documents,3,Operations > Custody, Collateral And Documents > Collections
ccd-008,Document Directory,ServiceDomain,ServiceDomain,Custody, Collateral And Documents,3,Operations > Custody, Collateral And Documents > Document Directory
ccd-009,Archive Services,ServiceDomain,ServiceDomain,Custody, Collateral And Documents,3,Operations > Custody, Collateral And Documents > Archive Services
ccd-010,Investment Account,ServiceDomain,ServiceDomain,Custody, Collateral And Documents,3,Operations > Custody, Collateral And Documents > Investment Account
ccd-011,Party Asset Directory,ServiceDomain,ServiceDomain,Custody, Collateral And Documents,3,Operations > Custody, Collateral And Documents > Party Asset Directory
acc-001,Accounting Services,Container,Grouping,Operations,2,Operations > Accounting Services,,
acc-002,Position Keeping,ServiceDomain,ServiceDomain,Accounting Services,3,Operations > Accounting Services > Position Keeping,,
acc-003,Customer Position,ServiceDomain,ServiceDomain,Accounting Services,3,Operations > Accounting Services > Customer Position,,
acc-004,Accounts Receivable,ServiceDomain,ServiceDomain,Accounting Services,3,Operations > Accounting Services > Accounts Receivable,,
acc-005,Financial Accounting,ServiceDomain,ServiceDomain,Accounting Services,3,Operations > Accounting Services > Financial Accounting,,
acc-006,Reward Points Account,ServiceDomain,ServiceDomain,Accounting Services,3,Operations > Accounting Services > Reward Points Account,,
acc-007,Fraud Diagnosis,ServiceDomain,ServiceDomain,Accounting Services,3,Operations > Accounting Services > Fraud Diagnosis,,
acc-008,Customer Tax Handling,ServiceDomain,ServiceDomain,Accounting Services,3,Operations > Accounting Services > Customer Tax Handling,,
acc-009,Commissions,ServiceDomain,ServiceDomain,Accounting Services,3,Operations > Accounting Services > Commissions,,
acc-010,Fraud Evaluation,ServiceDomain,ServiceDomain,Accounting Services,3,Operations > Accounting Services > Fraud Evaluation,,
acc-011,Accounts Reconciliation,ServiceDomain,ServiceDomain,Accounting Services,3,Operations > Accounting Services > Accounts Reconciliation,,
po-001,Payment Order,Container,Grouping,Operations,2,Operations > Payment Order,,
po-002,Payment Order,ServiceDomain,ServiceDomain,Payment Order,3,Operations > Payment Order > Payment Order,,
po-003,Payment Instruction,ServiceDomain,ServiceDomain,Payment Order,3,Operations > Payment Order > Payment Instruction,,
po-004,Payment Execution,ServiceDomain,ServiceDomain,Payment Order,3,Operations > Payment Order > Payment Execution,,
po-005,Payment Engine,ServiceDomain,ServiceDomain,Payment Order,3,Operations > Payment Order > Payment Engine,,
po-006,Securities Position Keeping,ServiceDomain,ServiceDomain,Payment Order,3,Operations > Payment Order > Securities Position Keeping,,
po-007,Financial Statement Assessment,ServiceDomain,ServiceDomain,Payment Order,3,Operations > Payment Order > Financial Statement Assessment,,
pi-001,Payment Initiation,Container,Grouping,Operations,2,Operations > Payment Initiation,,
