Use Case ID,Use Case Name,Pattern ID,Pattern Name,Pattern Category,Priority,Role
UC01,FrontLine - Partnership Banking,PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),GenAI,HIGH,Primary
UC01,FrontLine - Partnership Banking,PT-007,Agentic AI Pattern,Agent,HIGH,Primary
UC01,FrontLine - Partnership Banking,PT-006,Multi-Model Routing,GenAI,HIGH,Primary
UC01,FrontLine - Partnership Banking,PT-003,Feature Store (Dual-Store),Data,CRITICAL,Supporting
UC01,FrontLine - Partnership Banking,PT-001,Enterprise AI Governance Platform,Governance,CRITICAL,Cross-Cutting
UC01,FrontLine - Partnership Banking,PT-015,Event-Driven Architecture,Real-Time,MEDIUM,Supporting
UC02,Finance,PT-008,Multi-Agent Orchestration,Agent,HIGH,Primary
UC02,Finance,PT-007,Agentic AI Pattern,Agent,HIGH,Primary
UC02,Finance,PT-014,Batch Prediction Pattern,ML Prediction,MEDIUM,Primary
UC02,Finance,PT-012,Data Mesh Pattern,Data,MEDIUM,Supporting
UC02,Finance,PT-006,Multi-Model Routing,GenAI,HIGH,Supporting
UC02,Finance,PT-002,MLOps Level 2+ with Governance,Governance,CRITICAL,Cross-Cutting
UC02,Finance,PT-001,Enterprise AI Governance Platform,Governance,CRITICAL,Cross-Cutting
UC03,Analytics and Reporting,PT-013,Conversational AI Pattern,GenAI,HIGH,Primary
UC03,Analytics and Reporting,PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),GenAI,HIGH,Primary
UC03,Analytics and Reporting,PT-014,Batch Prediction Pattern,ML Prediction,MEDIUM,Supporting
UC03,Analytics and Reporting,PT-012,Data Mesh Pattern,Data,MEDIUM,Supporting
UC03,Analytics and Reporting,PT-006,Multi-Model Routing,GenAI,HIGH,Supporting
UC03,Analytics and Reporting,PT-016,Stream Processing Pattern,Real-Time,MEDIUM,Supporting
UC03,Analytics and Reporting,PT-001,Enterprise AI Governance Platform,Governance,CRITICAL,Cross-Cutting
UC04,Credit Risk,PT-009,Real-Time ML Scoring Pattern,ML Prediction,HIGH,Primary
UC04,Credit Risk,PT-004,ML Model Explainability (SHAP/LIME),Governance,CRITICAL,Primary
UC04,Credit Risk,PT-003,Feature Store (Dual-Store),Data,CRITICAL,Primary
UC04,Credit Risk,PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),GenAI,HIGH,Supporting
UC04,Credit Risk,PT-010,Champion/Challenger Testing Pattern,Governance,HIGH,Supporting
UC04,Credit Risk,PT-016,Stream Processing Pattern,Real-Time,MEDIUM,Supporting
UC04,Credit Risk,PT-002,MLOps Level 2+ with Governance,Governance,CRITICAL,Cross-Cutting
UC04,Credit Risk,PT-001,Enterprise AI Governance Platform,Governance,CRITICAL,Cross-Cutting
UC05,Lending Ops,PT-011,Intelligent Document Processing (IDP),Document Intelligence,MEDIUM,Primary
UC05,Lending Ops,PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),GenAI,HIGH,Primary
UC05,Lending Ops,PT-007,Agentic AI Pattern,Agent,HIGH,Supporting
UC05,Lending Ops,PT-018,Security and Privacy Pattern,Cross-Cutting,CRITICAL,Cross-Cutting
